30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
 2.2269642531121026e+00   1.6457871526454630e+00   4.2612180053444809e-01  -5.7667623147270364e-01
 2.1173478918667192e+00   1.5648906602777155e+00   4.3694018472011320e-01  -5.9131437301356538e-01
 2.0689800806964769e+00   1.5291871764750546e+00   4.4171593436605366e-01  -5.9777602306471211e-01
 2.0689800806964769e+00   1.5291871764750546e+00   4.4171593436605366e-01  -5.9777602306471211e-01
 2.0068372518025277e+00   1.4833089099269579e+00   4.4785122195430666e-01  -6.0607688017110051e-01
 1.8774348769152625e+00   1.3877539453089824e+00   4.6061438816829403e-01  -6.2334418495637189e-01
 1.7135399659983521e+00   1.2666948404720326e+00   4.7672311595907757e-01  -6.4513623689175159e-01
 1.5493670380461517e+00   1.1454008598489294e+00   4.9274486980475940e-01  -6.6680924777651740e-01
 1.4118622056778696e+00   1.0437920303452572e+00   5.0603039775273306e-01  -6.8477999852295179e-01
 1.3180334465768733e+00   9.7444998543450723e-01   5.1500255850954724e-01  -6.9691583161406623e-01
 1.2768730915513171e+00   9.4402967297700113e-01   5.1890977869923438e-01  -7.0220067791108765e-01
 1.2768730915513171e+00   9.4402967297700113e-01   5.1890977869923438e-01  -7.0220067791108765e-01
 1.2242250228614744e+00   9.0511780521293750e-01   5.2387880527275299e-01  -7.0892162418421567e-01
 1.1155130377521347e+00   8.2476510299197647e-01   5.3402357753207474e-01  -7.2264283786318406e-01
 9.7982234865287543e-01   7.2446445595584730e-01   5.4642331791724108e-01  -7.3941348835705367e-01
 8.4647413938173954e-01   6.2588898307498841e-01   5.5825139194208429e-01  -7.5541044722866113e-01
 7.3705570584413149e-01   5.4499928810698717e-01   5.6762239921807778e-01  -7.6808395312688726e-01
 6.6372226538294921e-01   4.9078442235469766e-01   5.7369631669213872e-01  -7.7629822305483942e-01
 6.3192112173302972e-01   4.6727368957851012e-01   5.7627076767294660e-01  -7.7977981788552342e-01
 6.3192112173302972e-01   4.6727368957851012e-01   5.7627076767294660e-01  -7.7977981788552342e-01
 5.9159054704289615e-01   4.3745679563322271e-01   5.7947834425600875e-01  -7.8411758146039767e-01
 5.0962054811585789e-01   3.7685434689083025e-01   5.8577562360371471e-01  -7.9263352825970190e-01
 4.1002478288951705e-01   3.0321906002586962e-01   5.9294838161703534e-01  -8.0233305063326410e-01
 3.1548355985791970e-01   2.3331926121379606e-01   5.9913791368864011e-01  -8.1070253975011708e-01
 2.4074204614962913e-01   1.7805753597726101e-01   6.0347383238613139e-01  -8.1656516006901203e-01
 1.9227213395101378e-01   1.4221981511002324e-01   6.0594888121840440e-01  -8.1991141696261483e-01
 1.7169767330810828e-01   1.2700734324122478e-01   6.0690318958820355e-01  -8.2120155186347066e-01
 1.7169767330810828e-01   1.2700734324122478e-01   6.0690318958820355e-01  -8.2120155186347066e-01
 1.4601929972009686e-01   1.0802101292621327e-01   6.0800200650309943e-01  -8.2268695822373383e-01
 9.5375526995846976e-02   7.0575191473687765e-02   6.0981763332310601e-01  -8.2514099357104220e-01
 3.7008261079722493e-02   2.7418043456368203e-02   6.1116467899069804e-01  -8.2696075048544915e-01
-1.4547332327062061e-02  -1.0703185606573332e-02   6.1139757391656424e-01  -8.2727351190488774e-01
-5.2035430550844766e-02  -3.8423196360579080e-02   6.1069769803095642e-01  -8.2632498577571578e-01
-7.4455606303144392e-02  -5.5001801245676982e-02   6.0973821975470677e-01  -8.2502592514277773e-01
-8.3446398989144230e-02  -6.1650147660756341e-02   6.0919193251771109e-01  -8.2428646220670143e-01
-8.3446398989144230e-02  -6.1650147660756341e-02   6.0919193251771109e-01  -8.2428646220670143e-01
-9.1689851266823816e-02  -6.7745931481971985e-02   6.0858603410843282e-01  -8.2346638541420414e-01
-1.0726849834606003e-01  -7.9266103520940615e-02   6.0708003704396341e-01  -8.2142825169643163e-01
-1.2370800680083481e-01  -9.1423399723384244e-02   6.0468973841549223e-01  -8.1819371337440616e-01
-1.3615301732019339e-01  -1.0062747579419952e-01   6.0174673123619682e-01  -8.1421158257149484e-01
-1.4318401771900383e-01  -1.0582833536272399e-01   5.9885990325626071e-01  -8.1030567527505382e-01
-1.4605665362251824e-01  -1.0795397670390604e-01   5.9667351399748292e-01  -8.0734756120817830e-01
-1.4679406192550387e-01  -1.0849996806293336e-01   5.9566046883653734e-01  -8.0597696488719828e-01
-1.4679406192550387e-01  -1.0849996806293336e-01   5.9566046883653734e-01  -8.0597696488719828e-01
-1.4712668776167670e-01  -1.0874648610738261e-01   5.9488998211607469e-01  -8.0493454499023032e-01
-1.4721323608504583e-01  -1.0881174800182793e-01   5.9320466994091914e-01  -8.0265444476063730e-01
-1.4602229111084580e-01  -1.0793292240859677e-01   5.9091117552226835e-01  -7.9955155935865774e-01
-1.4316526483235800e-01  -1.0582239633568545e-01   5.8843505635438431e-01  -7.9620164195475363e-01
-1.3929796280772774e-01  -1.0296473048384298e-01   5.8622610502492012e-01  -7.9321320386177585e-01
-1.3578502278872237e-01  -1.0036860847871745e-01   5.8465122750613907e-01  -7.9108260407005959e-01
-1.3399917673585215e-01  -9.9048774363133502e-02   5.8394400299700799e-01  -7.9012582692305777e-01
-1.3399917673585215e-01  -9.9048774363133502e-02   5.8394400299700799e-01  -7.9012582692305777e-01
-1.3257557521009383e-01  -9.7996635128319229e-02   5.8341441761893753e-01  -7.8940937232660990e-01
-1.2926650745224308e-01  -9.5550944871816701e-02   5.8227850457324182e-01  -7.8787264516192046e-01
-1.2433046475055230e-01  -9.1902657114062244e-02   5.8077602728039790e-01  -7.8584001598169817e-01
-1.1842137926843016e-01  -8.7535047958575918e-02   5.7920159445696351e-01  -7.8371004872434080e-01
-1.1260463577263298e-01  -8.3235590555997760e-02   5.7783287682762197e-01  -7.8185838757300308e-01
-1.0811373592061617e-01  -7.9916081165907954e-02   5.7687538385390646e-01  -7.8056305127467951e-01
-1.0599597296316539e-01  -7.8350695115755792e-02   5.7645002464467365e-01  -7.7998760810268442e-01
-1.0599597296316539e-01  -7.8350695115755792e-02   5.7645002464467365e-01  -7.7998760810268442e-01
-1.0436663755031209e-01  -7.7146334813772477e-02   5.7613330809883989e-01  -7.7955914127519010e-01
-1.0073895304018657e-01  -7.4464835221453696e-02   5.7545903566871925e-01  -7.7864695886671731e-01
-9.5637909159633105e-02  -7.0694233491431488e-02   5.7457742948197854e-01  -7.7745428759839441e-01
-8.9873254197491731e-02  -6.6433067109215815e-02   5.7366574836503903e-01  -7.7622092985865987e-01
-8.4455580706525424e-02  -6.2428357133742257e-02   5.7288312990337109e-01  -7.7516217266286580e-01
-8.0403539614269173e-02  -5.9433098487049724e-02   5.7234116978407423e-01  -7.7442898704270957e-01
-7.8525238472132594e-02  -5.8044659144983378e-02   5.7210189141883316e-01  -7.7410528135716383e-01
