90  60  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-03   3.3333333333333335e-05   3.3333333333333334e-08  ! rhol, rhog, mul, mug
 6.6666666666666670e-05   6.6666666666666670e-05   9.2222222222222233e-02   4.7619047619047619e-04  ! f1, f2, g, sigma
 1.0000000000000000e+00  ! alpha
 7.5891076682694115e-03  -1.7775182167573941e-01  ! gamma
-4.6110198442996386e-01   8.8734714737511233e-01  ! a
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U1 = 1.0 + A*y + B*y^2
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U2 = 1.0 + A*y + B*y^2
 7.3171488068419374e-02  -1.3826428735733365e-01  -7.2870828484100336e-01  -3.6998693165315782e-01
 7.2662678202291664e-02  -1.3734250054378172e-01  -7.2883355475807965e-01  -3.7005321683934650e-01
 7.2662678202291664e-02  -1.3734250054378172e-01  -7.2883355475807965e-01  -3.7005321683934650e-01
 7.2240734343491625e-02  -1.3657885465563122e-01  -7.2893704712861906e-01  -3.7010796394464074e-01
 7.1324154844489909e-02  -1.3492021323239278e-01  -7.2916101073240791e-01  -3.7022639260284290e-01
 7.0088756308525332e-02  -1.3267565703196368e-01  -7.2946243919880793e-01  -3.7038568259893379e-01
 6.8770994554988543e-02  -1.3024538243549544e-01  -7.2978663542550282e-01  -3.7055689807365161e-01
 6.7614933903274180e-02  -1.2804547740975683e-01  -7.3007758386685628e-01  -3.7071051956281154e-01
 6.6807622879811221e-02  -1.2644114903396775e-01  -7.3028751491056165e-01  -3.7082140236488459e-01
 6.6451266084769839e-02  -1.2570638707080881e-01  -7.3038278092356490e-01  -3.7087174945188051e-01
 6.6451266084769839e-02  -1.2570638707080881e-01  -7.3038278092356490e-01  -3.7087174945188051e-01
 6.6162182701446512e-02  -1.2509485618900798e-01  -7.3046154684967168e-01  -3.7091339727655059e-01
 6.5555547939919148e-02  -1.2375442344118108e-01  -7.3063218524653539e-01  -3.7100371286651385e-01
 6.4787412266174002e-02  -1.2190166309932571e-01  -7.3086220984063877e-01  -3.7112574762709105e-01
 6.4034791145357553e-02  -1.1981912480751304e-01  -7.3110998128909965e-01  -3.7125777140786326e-01
 6.3432011010839617e-02  -1.1783523979357333e-01  -7.3133252310865349e-01  -3.7137711188832007e-01
 6.3040501667958243e-02  -1.1631150245837416e-01  -7.3149308682192438e-01  -3.7146383019020685e-01
 6.2874106687302644e-02  -1.1558847338596577e-01  -7.3156591752804079e-01  -3.7150337414987389e-01
 6.2874106687302589e-02  -1.1558847338596563e-01  -7.3156591752803968e-01  -3.7150337414987350e-01
 6.2741346983840970e-02  -1.1497369278368826e-01  -7.3162610774375025e-01  -3.7153616661440247e-01
 6.2466480972975032e-02  -1.1358263063122943e-01  -7.3175638799480713e-01  -3.7160753136057967e-01
 6.2113684985308157e-02  -1.1155770527244709e-01  -7.3193164112478959e-01  -3.7170449320253429e-01
 6.1730355242283701e-02  -1.0914249460560610e-01  -7.3211971029845013e-01  -3.7181001084335547e-01
 6.1345013620630613e-02  -1.0672195678852089e-01  -7.3228775195273477e-01  -3.7190581099811748e-01
 6.1013701432500782e-02  -1.0480253946971321e-01  -7.3240833003692396e-01  -3.7197555878436711e-01
 6.0841023532164466e-02  -1.0387885372711536e-01  -7.3246280882725590e-01  -3.7200737036307407e-01
 6.0841023532164515e-02  -1.0387885372711554e-01  -7.3246280882725634e-01  -3.7200737036307424e-01
 6.0684944584154278e-02  -1.0308889669211385e-01  -7.3250772149782339e-01  -3.7203374190183652e-01
 6.0296504634200540e-02  -1.0129228381344881e-01  -7.3260456367794669e-01  -3.7209106763156302e-01
 5.9632474064045198e-02  -9.8675708269344062e-02  -7.3273395844058642e-01  -3.7216867750253507e-01
 5.8671330343619932e-02  -9.5593611520966223e-02  -7.3287156981251345e-01  -3.7225249530370624e-01
 5.7513729255850424e-02  -9.2586093168307335e-02  -7.3299333633284247e-01  -3.7232769665777543e-01
 5.6456017145805115e-02  -9.0277469741398997e-02  -7.3307998236443361e-01  -3.7238171010967913e-01
 5.5903210661199410e-02  -8.9193503252317896e-02  -7.3311892806977264e-01  -3.7240609367281308e-01
 5.5903210661990825e-02  -8.9193503244831496e-02  -7.3311892806977197e-01  -3.7240609367281274e-01
 4.1785950937991603e-02  -8.4579722570176763e-02  -7.3315665359186943e-01  -3.7242726066113485e-01
